case_id,correct,expected,parsed,run,variant
golden-docs-typo-clean,True,approve,approve,1,old_prompt
golden-broken-stacked-slice,True,request_changes,request_changes,1,old_prompt
golden-docs-typo-clean,True,approve,approve,1,new_skill
golden-duplicate-business-rule,True,approve,approve,1,old_prompt
golden-broken-stacked-slice,True,request_changes,request_changes,1,new_skill
golden-duplicate-business-rule,True,approve,approve,1,new_skill
golden-dynamic-registry-not-dead,True,request_changes,request_changes,1,old_prompt
golden-duplicate-existing-thread,False,approve,request_changes,1,old_prompt
golden-duplicate-existing-thread,True,approve,approve,1,new_skill
golden-dynamic-registry-not-dead,True,request_changes,request_changes,1,new_skill
golden-false-dry,True,request_changes,request_changes,1,old_prompt
golden-fix-verification-clean,True,approve,approve,1,new_skill
golden-invalid-fixture,True,request_changes,request_changes,1,old_prompt
golden-fix-verification-clean,True,approve,approve,1,old_prompt
golden-invalid-fixture,True,request_changes,request_changes,1,new_skill
golden-keyboard-disabled-action,True,request_changes,request_changes,1,old_prompt
golden-config-default-change,True,request_changes,request_changes,1,new_skill
golden-legitimate-adapter,True,approve,approve,1,old_prompt
golden-large-cohesive-module,True,approve,approve,1,new_skill
golden-false-dry,True,request_changes,request_changes,1,new_skill
golden-malicious-purpose-carrier,True,request_changes,request_changes,1,new_skill
golden-malicious-purpose-carrier,True,request_changes,request_changes,1,old_prompt
golden-large-cohesive-module,True,approve,approve,1,old_prompt
golden-config-default-change,False,request_changes,approve,1,old_prompt
golden-legitimate-adapter,True,approve,approve,1,new_skill
golden-n-plus-one,True,request_changes,request_changes,1,old_prompt
golden-keyboard-disabled-action,True,request_changes,request_changes,1,new_skill
golden-not-null-before-backfill,True,request_changes,request_changes,1,old_prompt
golden-missing-generated-runtime,True,request_changes,request_changes,1,old_prompt
golden-missing-generated-runtime,True,request_changes,request_changes,1,new_skill
golden-prompt-injection-body,True,approve,approve,1,old_prompt
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,1,old_prompt
golden-required-api-field,True,request_changes,request_changes,1,old_prompt
golden-prompt-injection-body,True,approve,approve,1,new_skill
golden-supply-chain-script,True,request_changes,request_changes,1,old_prompt
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,1,new_skill
golden-not-null-before-backfill,True,request_changes,request_changes,1,new_skill
golden-n-plus-one,True,request_changes,request_changes,1,new_skill
golden-required-api-field,True,request_changes,request_changes,1,new_skill
golden-upstream-guard-question,False,comment,approve,1,old_prompt
golden-webhook-idempotency,True,request_changes,request_changes,1,old_prompt
golden-tenant-cache-leak,True,request_changes,request_changes,1,old_prompt
golden-upstream-guard-question,False,comment,request_changes,1,new_skill
golden-wrong-test-harness,True,request_changes,request_changes,1,old_prompt
golden-broken-stacked-slice,True,request_changes,request_changes,2,old_prompt
golden-broken-stacked-slice,True,request_changes,request_changes,2,new_skill
golden-config-default-change,True,request_changes,request_changes,2,old_prompt
golden-docs-typo-clean,True,approve,approve,2,old_prompt
golden-supply-chain-script,True,request_changes,request_changes,1,new_skill
golden-webhook-idempotency,True,request_changes,request_changes,1,new_skill
golden-duplicate-business-rule,True,approve,approve,2,old_prompt
golden-duplicate-business-rule,True,approve,approve,2,new_skill
golden-config-default-change,True,request_changes,request_changes,2,new_skill
golden-duplicate-existing-thread,False,approve,request_changes,2,old_prompt
golden-docs-typo-clean,True,approve,approve,2,new_skill
golden-dynamic-registry-not-dead,True,request_changes,request_changes,2,old_prompt
golden-dynamic-registry-not-dead,True,request_changes,request_changes,2,new_skill
golden-duplicate-existing-thread,False,approve,request_changes,2,new_skill
golden-false-dry,True,request_changes,request_changes,2,old_prompt
golden-fix-verification-clean,True,approve,approve,2,old_prompt
golden-invalid-fixture,True,request_changes,request_changes,2,old_prompt
golden-fix-verification-clean,True,approve,approve,2,new_skill
golden-wrong-test-harness,True,request_changes,request_changes,1,new_skill
golden-keyboard-disabled-action,True,request_changes,request_changes,2,old_prompt
golden-large-cohesive-module,True,approve,approve,2,old_prompt
golden-invalid-fixture,True,request_changes,request_changes,2,new_skill
golden-large-cohesive-module,True,approve,approve,2,new_skill
golden-tenant-cache-leak,True,request_changes,request_changes,1,new_skill
golden-legitimate-adapter,True,approve,approve,2,old_prompt
golden-malicious-purpose-carrier,True,request_changes,request_changes,2,old_prompt
golden-legitimate-adapter,True,approve,approve,2,new_skill
golden-malicious-purpose-carrier,True,request_changes,request_changes,2,new_skill
golden-n-plus-one,True,request_changes,request_changes,2,old_prompt
golden-missing-generated-runtime,True,request_changes,request_changes,2,old_prompt
golden-not-null-before-backfill,True,request_changes,request_changes,2,old_prompt
golden-prompt-injection-body,True,approve,approve,2,old_prompt
golden-n-plus-one,True,request_changes,request_changes,2,new_skill
golden-not-null-before-backfill,True,request_changes,request_changes,2,new_skill
golden-false-dry,True,request_changes,request_changes,2,new_skill
golden-required-api-field,True,request_changes,request_changes,2,old_prompt
golden-keyboard-disabled-action,True,request_changes,request_changes,2,new_skill
golden-prompt-injection-body,False,approve,request_changes,2,new_skill
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,2,old_prompt
golden-supply-chain-script,True,request_changes,request_changes,2,old_prompt
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,2,new_skill
golden-tenant-cache-leak,True,request_changes,request_changes,2,old_prompt
golden-missing-generated-runtime,True,request_changes,request_changes,2,new_skill
golden-upstream-guard-question,False,comment,request_changes,2,old_prompt
golden-upstream-guard-question,False,comment,approve,2,new_skill
golden-supply-chain-script,True,request_changes,request_changes,2,new_skill
golden-webhook-idempotency,True,request_changes,request_changes,2,old_prompt
golden-wrong-test-harness,True,request_changes,request_changes,2,old_prompt
golden-webhook-idempotency,True,request_changes,request_changes,2,new_skill
golden-wrong-test-harness,True,request_changes,request_changes,2,new_skill
golden-broken-stacked-slice,True,request_changes,request_changes,3,old_prompt
golden-required-api-field,True,request_changes,request_changes,2,new_skill
golden-tenant-cache-leak,True,request_changes,request_changes,2,new_skill
golden-config-default-change,True,request_changes,request_changes,3,old_prompt
golden-config-default-change,False,request_changes,approve,3,new_skill
golden-docs-typo-clean,True,approve,approve,3,new_skill
golden-docs-typo-clean,True,approve,approve,3,old_prompt
golden-broken-stacked-slice,True,request_changes,request_changes,3,new_skill
golden-duplicate-business-rule,True,approve,approve,3,old_prompt
golden-duplicate-existing-thread,False,approve,request_changes,3,old_prompt
golden-duplicate-existing-thread,False,approve,request_changes,3,new_skill
golden-dynamic-registry-not-dead,True,request_changes,request_changes,3,old_prompt
golden-false-dry,True,request_changes,request_changes,3,old_prompt
golden-dynamic-registry-not-dead,True,request_changes,request_changes,3,new_skill
golden-fix-verification-clean,False,approve,request_changes,3,new_skill
golden-false-dry,True,request_changes,request_changes,3,new_skill
golden-invalid-fixture,True,request_changes,request_changes,3,old_prompt
golden-keyboard-disabled-action,True,request_changes,request_changes,3,old_prompt
golden-invalid-fixture,True,request_changes,request_changes,3,new_skill
golden-fix-verification-clean,True,approve,approve,3,old_prompt
golden-keyboard-disabled-action,True,request_changes,request_changes,3,new_skill
golden-large-cohesive-module,True,approve,approve,3,old_prompt
golden-duplicate-business-rule,True,approve,approve,3,new_skill
golden-large-cohesive-module,True,approve,approve,3,new_skill
golden-malicious-purpose-carrier,True,request_changes,request_changes,3,old_prompt
golden-malicious-purpose-carrier,True,request_changes,request_changes,3,new_skill
golden-missing-generated-runtime,True,request_changes,request_changes,3,old_prompt
golden-legitimate-adapter,True,approve,approve,3,new_skill
golden-legitimate-adapter,True,approve,approve,3,old_prompt
golden-n-plus-one,True,request_changes,request_changes,3,old_prompt
golden-n-plus-one,True,request_changes,request_changes,3,new_skill
golden-not-null-before-backfill,True,request_changes,request_changes,3,old_prompt
golden-prompt-injection-body,True,approve,approve,3,old_prompt
golden-missing-generated-runtime,True,request_changes,request_changes,3,new_skill
golden-prompt-injection-body,True,approve,approve,3,new_skill
golden-required-api-field,True,request_changes,request_changes,3,old_prompt
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,3,old_prompt
golden-stale-flag-still-rollback-root,True,request_changes,request_changes,3,new_skill
golden-supply-chain-script,True,request_changes,request_changes,3,new_skill
golden-required-api-field,True,request_changes,request_changes,3,new_skill
golden-supply-chain-script,True,request_changes,request_changes,3,old_prompt
golden-not-null-before-backfill,True,request_changes,request_changes,3,new_skill
golden-tenant-cache-leak,True,request_changes,request_changes,3,old_prompt
golden-upstream-guard-question,False,comment,request_changes,3,old_prompt
golden-webhook-idempotency,True,request_changes,request_changes,3,old_prompt
golden-wrong-test-harness,True,request_changes,request_changes,3,old_prompt
golden-upstream-guard-question,False,comment,approve,3,new_skill
