adjudication,case_id,confidence,delta_author_trust,delta_blocker_recall_and_correctness,delta_disconfirmation_and_evidence,delta_exact_localization,delta_false_positive_control,delta_lifecycle_awareness,delta_priority_and_merge_action,delta_public_readability,delta_qa_feasibility,delta_repairability,delta_scope_discipline,delta_useful_non_blocking_value,judge,run,winner_variant
False,001-01-docs_typo-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,002-01-docs_command_update-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,primary,1,new_skill
False,003-01-ui_copy_only-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
True,004-01-mechanical_rename-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,005-01-formatting_only-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
True,006-01-test_name_cleanup-initial_preview,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,tie
False,007-01-comment_accuracy-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,008-01-generated_snapshot_refresh-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,009-01-config_default_runtime_change-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,primary,1,old_prompt
False,010-01-feature_flag_default-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,011-01-environment_variable_add-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,012-01-ci_workflow_permissions-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,013-01-release_script_order-initial_preview,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,014-01-kubernetes_rollout-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,new_skill
False,015-01-package_manager_migration-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,016-01-dependency_major_upgrade-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,017-01-api_additive_field-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,018-01-api_required_field_break-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,primary,1,new_skill
False,019-01-event_payload_rename-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,tie
False,020-01-sdk_method_addition-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,021-01-cli_flag_semantics-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,022-01-manifest_classifier_drift-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,023-01-generated_client_version_skew-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,024-01-static_import_missing_artifact-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,025-01-nullable_column_add-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,026-01-not_null_before_backfill-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,027-01-destructive_column_drop-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,028-01-dual_read_write_window-initial_preview,low,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,new_skill
True,029-01-backfill_idempotency-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,primary,1,new_skill
False,030-01-data_retention_policy-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,031-01-schema_default_change-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,primary,1,new_skill
True,032-01-rollback_only_migration-initial_preview,low,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,primary,1,new_skill
False,034-01-authentication_session_fix-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,035-01-tenant_cache_leak-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,036-01-audit_event_gap-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,038-01-secret_in_build_log-initial_preview,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,primary,1,new_skill
False,039-01-privacy_field_exposure-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,040-01-rate_limit_boundary-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,041-01-webhook_idempotency-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,tie
True,042-01-queue_retry_poison_message-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,043-01-cache_key_scope-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,044-01-race_condition_ui_state-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,045-01-transaction_partial_failure-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,046-01-stale_cache_after_transfer-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,047-01-job_resume_checkpoint-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,048-01-observability_new_failure-initial_preview,medium,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,049-01-n_plus_one_query-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,050-01-bundle_size_regression-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
True,051-01-memory_retention_listener-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,052-01-algorithmic_complexity-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,primary,1,new_skill
False,053-01-parallelism_ordering_tradeoff-initial_preview,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,primary,1,new_skill
False,054-01-keyboard_disabled_action-initial_preview,low,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,new_skill
False,055-01-focus_loss_modal-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,056-01-empty_state_copy-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,057-01-undo_redo_state-initial_preview,low,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,new_skill
False,058-01-preview_runtime_parity-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,059-01-screen_reader_label-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,060-01-stale_selection_async-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,061-01-localization_fallback-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,062-01-duplicate_business_rule-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,063-01-incidental_similarity-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,064-01-shallow_wrapper-initial_preview,low,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,primary,1,new_skill
False,065-01-volatile_dependency_adapter-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,066-01-large_cohesive_module-initial_preview,medium,-1.0,-4.0,-1.0,-3.0,-2.0,-2.0,-4.0,-1.0,-4.0,-1.0,-2.0,-4.0,primary,1,old_prompt
False,067-01-many_modes_state_space-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,068-01-agent_iteration_residue-initial_preview,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,new_skill
False,069-01-stale_feature_flag-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,070-01-dynamic_registry_dead_code-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,071-01-dependency_inflation-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,072-01-architecture_dependency_direction-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,073-01-generic_utils_dumping_ground-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,074-01-jsdom_browser_mismatch-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
True,075-01-mocked_provider_contract-initial_preview,medium,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,076-01-invalid_fixture_shape-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
True,077-01-flaky_timer_test-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,tie
False,078-01-missing_characterization_refactor-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,079-01-generated_output_build_gap-initial_preview,low,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,primary,1,new_skill
True,001-01-docs_typo-initial_preview,low,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,secondary,1,new_skill
True,002-01-docs_command_update-initial_preview,medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,secondary,1,tie
True,003-01-ui_copy_only-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,secondary,1,tie
True,004-01-mechanical_rename-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,1,tie
False,005-01-formatting_only-initial_preview,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
True,006-01-test_name_cleanup-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,secondary,1,tie
True,007-01-comment_accuracy-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,1,tie
True,008-01-generated_snapshot_refresh-initial_preview,medium,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
False,009-01-config_default_runtime_change-initial_preview,medium,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,secondary,1,new_skill
True,010-01-feature_flag_default-initial_preview,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,secondary,1,tie
True,011-01-environment_variable_add-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,secondary,1,tie
True,012-01-ci_workflow_permissions-initial_preview,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
True,013-01-release_script_order-initial_preview,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
