case_id,run,control_correct,treatment_correct
001-01-docs_typo-initial_preview,1,0,0
006-01-test_name_cleanup-initial_preview,1,0,0
011-01-environment_variable_add-initial_preview,1,1,0
016-01-dependency_major_upgrade-initial_preview,1,0,0
021-01-cli_flag_semantics-initial_preview,1,0,0
026-01-not_null_before_backfill-initial_preview,1,0,0
031-01-schema_default_change-initial_preview,1,0,0
036-01-audit_event_gap-initial_preview,1,0,0
041-01-webhook_idempotency-initial_preview,1,0,0
046-01-stale_cache_after_transfer-initial_preview,1,0,0
051-01-memory_retention_listener-initial_preview,1,0,0
056-01-empty_state_copy-initial_preview,1,0,0
061-01-localization_fallback-initial_preview,1,0,0
066-01-large_cohesive_module-initial_preview,1,1,0
071-01-dependency_inflation-initial_preview,1,0,0
002-01-docs_command_update-initial_preview,1,0,0
007-01-comment_accuracy-initial_preview,1,1,0
012-01-ci_workflow_permissions-initial_preview,1,0,1
017-01-api_additive_field-initial_preview,1,0,0
022-01-manifest_classifier_drift-initial_preview,1,0,0
027-01-destructive_column_drop-initial_preview,1,0,0
032-01-rollback_only_migration-initial_preview,1,0,0
037-01-path_traversal_upload-initial_preview,1,0,0
042-01-queue_retry_poison_message-initial_preview,1,0,0
047-01-job_resume_checkpoint-initial_preview,1,0,0
052-01-algorithmic_complexity-initial_preview,1,0,0
057-01-undo_redo_state-initial_preview,1,0,0
062-01-duplicate_business_rule-initial_preview,1,0,0
067-01-many_modes_state_space-initial_preview,1,0,0
072-01-architecture_dependency_direction-initial_preview,1,0,0
003-01-ui_copy_only-initial_preview,1,0,0
008-01-generated_snapshot_refresh-initial_preview,1,0,0
013-01-release_script_order-initial_preview,1,0,0
018-01-api_required_field_break-initial_preview,1,0,0
023-01-generated_client_version_skew-initial_preview,1,0,0
028-01-dual_read_write_window-initial_preview,1,0,1
033-01-authorization_bypass-initial_preview,1,1,0
038-01-secret_in_build_log-initial_preview,1,0,0
043-01-cache_key_scope-initial_preview,1,0,0
048-01-observability_new_failure-initial_preview,1,0,0
053-01-parallelism_ordering_tradeoff-initial_preview,1,0,0
058-01-preview_runtime_parity-initial_preview,1,0,0
063-01-incidental_similarity-initial_preview,1,0,0
068-01-agent_iteration_residue-initial_preview,1,1,0
073-01-generic_utils_dumping_ground-initial_preview,1,0,0
004-01-mechanical_rename-initial_preview,1,0,0
009-01-config_default_runtime_change-initial_preview,1,0,0
014-01-kubernetes_rollout-initial_preview,1,0,0
019-01-event_payload_rename-initial_preview,1,0,0
024-01-static_import_missing_artifact-initial_preview,1,0,0
029-01-backfill_idempotency-initial_preview,1,0,0
034-01-authentication_session_fix-initial_preview,1,0,0
039-01-privacy_field_exposure-initial_preview,1,0,0
044-01-race_condition_ui_state-initial_preview,1,0,0
049-01-n_plus_one_query-initial_preview,1,0,0
054-01-keyboard_disabled_action-initial_preview,1,0,0
059-01-screen_reader_label-initial_preview,1,0,0
064-01-shallow_wrapper-initial_preview,1,0,0
069-01-stale_feature_flag-initial_preview,1,0,0
074-01-jsdom_browser_mismatch-initial_preview,1,0,0
005-01-formatting_only-initial_preview,1,1,0
010-01-feature_flag_default-initial_preview,1,0,0
015-01-package_manager_migration-initial_preview,1,0,1
020-01-sdk_method_addition-initial_preview,1,0,0
025-01-nullable_column_add-initial_preview,1,1,0
030-01-data_retention_policy-initial_preview,1,1,0
035-01-tenant_cache_leak-initial_preview,1,0,0
040-01-rate_limit_boundary-initial_preview,1,1,0
045-01-transaction_partial_failure-initial_preview,1,0,0
050-01-bundle_size_regression-initial_preview,1,0,0
055-01-focus_loss_modal-initial_preview,1,0,0
060-01-stale_selection_async-initial_preview,1,0,0
065-01-volatile_dependency_adapter-initial_preview,1,0,0
070-01-dynamic_registry_dead_code-initial_preview,1,0,0
075-01-mocked_provider_contract-initial_preview,1,0,0
