case_id,run,control_correct,treatment_correct
016-01-dependency_major_upgrade-initial_preview,1,0,0
026-01-not_null_before_backfill-initial_preview,1,0,0
031-01-schema_default_change-initial_preview,1,0,0
036-01-audit_event_gap-initial_preview,1,0,0
041-01-webhook_idempotency-initial_preview,1,0,0
046-01-stale_cache_after_transfer-initial_preview,1,0,0
051-01-memory_retention_listener-initial_preview,1,0,0
012-01-ci_workflow_permissions-initial_preview,1,0,0
022-01-manifest_classifier_drift-initial_preview,1,0,0
027-01-destructive_column_drop-initial_preview,1,0,0
032-01-rollback_only_migration-initial_preview,1,0,0
037-01-path_traversal_upload-initial_preview,1,0,0
047-01-job_resume_checkpoint-initial_preview,1,0,0
052-01-algorithmic_complexity-initial_preview,1,0,0
057-01-undo_redo_state-initial_preview,1,0,0
067-01-many_modes_state_space-initial_preview,1,0,0
018-01-api_required_field_break-initial_preview,1,0,0
023-01-generated_client_version_skew-initial_preview,1,0,0
033-01-authorization_bypass-initial_preview,1,0,0
038-01-secret_in_build_log-initial_preview,1,0,0
043-01-cache_key_scope-initial_preview,1,0,0
058-01-preview_runtime_parity-initial_preview,1,0,0
009-01-config_default_runtime_change-initial_preview,1,0,0
019-01-event_payload_rename-initial_preview,1,0,0
024-01-static_import_missing_artifact-initial_preview,1,0,0
029-01-backfill_idempotency-initial_preview,1,0,0
034-01-authentication_session_fix-initial_preview,1,0,0
039-01-privacy_field_exposure-initial_preview,1,0,0
044-01-race_condition_ui_state-initial_preview,1,0,0
049-01-n_plus_one_query-initial_preview,1,0,0
054-01-keyboard_disabled_action-initial_preview,1,0,0
010-01-feature_flag_default-initial_preview,1,0,0
030-01-data_retention_policy-initial_preview,1,0,0
035-01-tenant_cache_leak-initial_preview,1,0,0
045-01-transaction_partial_failure-initial_preview,1,0,0
055-01-focus_loss_modal-initial_preview,1,0,0
060-01-stale_selection_async-initial_preview,1,0,0
075-01-mocked_provider_contract-initial_preview,1,0,0
