case_id,run,control_correct,treatment_correct
swe-prbench-agents__3948,1,0,0
swe-prbench-agents__4713,1,0,0
swe-prbench-chia-blockchain__20317,1,0,0
swe-prbench-dask__12144,1,0,1
swe-prbench-firebase-android-sdk__7617,1,0,0
swe-prbench-node-postgres__3547,1,0,0
swe-prbench-protocompile__590,1,0,0
swe-prbench-prowler__9865,1,0,0
swe-prbench-server__8569,1,0,0
swe-prbench-vitest__9152,1,1,0
swe-prbench-agents__3909,1,0,0
swe-prbench-coreos-assembler__4381,1,0,1
swe-prbench-dask__12106,1,0,1
swe-prbench-discord.py__10307,1,0,0
swe-prbench-espnet__6278,1,0,0
swe-prbench-kale__593,1,0,0
swe-prbench-mycli__1517,1,0,0
swe-prbench-pipecat__2792,1,0,0
swe-prbench-pipecat__2819,1,0,0
swe-prbench-stylelint__9026,1,0,0
swe-prbench-agents__4155,1,0,0
swe-prbench-dask__12221,1,0,0
swe-prbench-falcon__2540,1,0,0
swe-prbench-falcon__2572,1,0,0
swe-prbench-linkding__1261,1,0,0
swe-prbench-numba__10276,1,1,0
swe-prbench-pipecat__3692,1,0,0
swe-prbench-protocompile__630,1,0,1
swe-prbench-prowler__9702,1,0,0
swe-prbench-stylelint__9060,1,1,0
swe-prbench-coreos-assembler__4394,1,0,0
swe-prbench-espnet__6325,1,0,0
swe-prbench-falcon__2581,1,0,1
swe-prbench-kedro__5107,1,0,0
swe-prbench-kedro__5334,1,0,0
swe-prbench-pipecat__3041,1,1,0
swe-prbench-prowler__9561,1,0,0
swe-prbench-redis-py__3949,1,0,0
swe-prbench-vitest__9512,1,0,0
swe-prbench-wakatime-cli__1245,1,0,0
swe-prbench-agents__4846,1,0,0
swe-prbench-lucene__15223,1,0,1
swe-prbench-pip__13482,1,0,0
swe-prbench-pipecat__2266,1,0,0
swe-prbench-pipecat__3233,1,0,1
swe-prbench-pipecat__3410,1,0,0
swe-prbench-protocompile__645,1,0,0
swe-prbench-qutebrowser__8845,1,0,0
swe-prbench-stylelint__9062,1,0,0
swe-prbench-transformers.js__1436,1,0,0
swe-prbench-backstage__32466,1,0,0
swe-prbench-espnet__6248,1,0,0
swe-prbench-pipecat__2735,1,0,0
swe-prbench-pipecat__3392,1,0,0
swe-prbench-ragas__2331,1,0,0
swe-prbench-sqlfluff__7499,1,0,0
swe-prbench-stylelint__9044,1,0,0
swe-prbench-stylelint__9074,1,0,0
swe-prbench-vega__4219,1,0,0
swe-prbench-zod__5672,1,0,0
swe-prbench-deepeval__2394,1,0,0
swe-prbench-effect__5952,1,0,0
swe-prbench-litgpt__2188,1,0,0
swe-prbench-nessie__11676,1,0,0
swe-prbench-numba__10366,1,0,1
swe-prbench-openbao__1906,1,0,0
swe-prbench-protocompile__569,1,0,0
swe-prbench-prowler__9718,1,0,0
swe-prbench-spyder__24990,1,0,0
swe-prbench-spyder__25460,1,0,0
swe-prbench-agents__3608,1,0,0
swe-prbench-altair__3936,1,0,0
swe-prbench-autogluon__5586,1,0,0
swe-prbench-chia-blockchain__20318,1,0,0
swe-prbench-coreos-assembler__4359,1,1,0
swe-prbench-kale__601,1,0,0
swe-prbench-openbao__2307,1,0,0
swe-prbench-openbao__2362,1,0,0
swe-prbench-ratelimit__996,1,0,0
swe-prbench-spyder__25609,1,0,1
swe-prbench-chia-blockchain__20099,1,0,0
swe-prbench-deepchem__4601,1,0,0
swe-prbench-espnet__6356,1,0,0
swe-prbench-pipecat__2974,1,1,0
swe-prbench-pipecat__3025,1,0,1
swe-prbench-pipecat__3598,1,0,0
swe-prbench-spyder__25481,1,0,0
swe-prbench-stylelint__8985,1,0,0
swe-prbench-vitest__9521,1,0,0
swe-prbench-zod__5578,1,0,0
swe-prbench-chia-blockchain__20321,1,0,0
swe-prbench-coreos-assembler__4386,1,0,0
swe-prbench-espnet__6352,1,0,0
swe-prbench-metaflow__2653,1,0,0
swe-prbench-pipecat__3113,1,0,0
swe-prbench-pipecat__3328,1,1,0
swe-prbench-pipecat__3428,1,0,0
swe-prbench-prowler__9606,1,0,1
swe-prbench-sktime__9042,1,0,0
swe-prbench-stylelint__8953,1,0,0
