case_id,run,control_correct,treatment_correct
swe-prbench-agents__3948,1,7,3
swe-prbench-agents__4713,1,4,3
swe-prbench-chia-blockchain__20317,1,3,3
swe-prbench-dask__12144,1,1,1
swe-prbench-firebase-android-sdk__7617,1,2,2
swe-prbench-node-postgres__3547,1,3,3
swe-prbench-protocompile__590,1,3,3
swe-prbench-prowler__9865,1,3,2
swe-prbench-server__8569,1,8,6
swe-prbench-vitest__9152,1,2,2
swe-prbench-agents__3909,1,6,4
swe-prbench-coreos-assembler__4381,1,3,2
swe-prbench-dask__12106,1,4,1
swe-prbench-discord.py__10307,1,5,6
swe-prbench-espnet__6278,1,4,6
swe-prbench-kale__593,1,3,0
swe-prbench-mycli__1517,1,1,1
swe-prbench-pipecat__2792,1,4,3
swe-prbench-pipecat__2819,1,2,4
swe-prbench-stylelint__9026,1,1,0
swe-prbench-agents__4155,1,6,3
swe-prbench-dask__12221,1,2,3
swe-prbench-falcon__2540,1,2,2
swe-prbench-falcon__2572,1,3,2
swe-prbench-linkding__1261,1,2,1
swe-prbench-numba__10276,1,4,0
swe-prbench-pipecat__3692,1,2,2
swe-prbench-protocompile__630,1,0,1
swe-prbench-prowler__9702,1,2,2
swe-prbench-stylelint__9060,1,0,1
swe-prbench-coreos-assembler__4394,1,2,2
swe-prbench-espnet__6325,1,2,3
swe-prbench-falcon__2581,1,4,1
swe-prbench-kedro__5107,1,3,2
swe-prbench-kedro__5334,1,4,2
swe-prbench-pipecat__3041,1,3,3
swe-prbench-prowler__9561,1,4,0
swe-prbench-redis-py__3949,1,1,0
swe-prbench-vitest__9512,1,1,4
swe-prbench-wakatime-cli__1245,1,4,2
swe-prbench-agents__4846,1,6,4
swe-prbench-lucene__15223,1,5,1
swe-prbench-pip__13482,1,2,2
swe-prbench-pipecat__2266,1,6,4
swe-prbench-pipecat__3233,1,3,3
swe-prbench-pipecat__3410,1,4,2
swe-prbench-protocompile__645,1,3,2
swe-prbench-qutebrowser__8845,1,4,2
swe-prbench-stylelint__9062,1,1,1
swe-prbench-transformers.js__1436,1,2,2
swe-prbench-backstage__32466,1,2,2
swe-prbench-espnet__6248,1,4,5
swe-prbench-pipecat__2735,1,3,2
swe-prbench-pipecat__3392,1,3,3
swe-prbench-ragas__2331,1,2,1
swe-prbench-sqlfluff__7499,1,1,2
swe-prbench-stylelint__9044,1,5,2
swe-prbench-stylelint__9074,1,3,2
swe-prbench-vega__4219,1,2,1
swe-prbench-zod__5672,1,2,3
swe-prbench-deepeval__2394,1,2,0
swe-prbench-effect__5952,1,1,2
swe-prbench-litgpt__2188,1,2,2
swe-prbench-nessie__11676,1,2,2
swe-prbench-numba__10366,1,2,2
swe-prbench-openbao__1906,1,4,2
swe-prbench-protocompile__569,1,3,2
swe-prbench-prowler__9718,1,2,4
swe-prbench-spyder__24990,1,5,3
swe-prbench-spyder__25460,1,7,4
swe-prbench-agents__3608,1,3,1
swe-prbench-altair__3936,1,4,3
swe-prbench-autogluon__5586,1,1,1
swe-prbench-chia-blockchain__20318,1,1,2
swe-prbench-coreos-assembler__4359,1,2,3
swe-prbench-kale__601,1,4,2
swe-prbench-openbao__2307,1,0,1
swe-prbench-openbao__2362,1,7,3
swe-prbench-ratelimit__996,1,4,3
swe-prbench-spyder__25609,1,3,1
swe-prbench-chia-blockchain__20099,1,2,4
swe-prbench-deepchem__4601,1,4,3
swe-prbench-espnet__6356,1,4,5
swe-prbench-pipecat__2974,1,6,6
swe-prbench-pipecat__3025,1,3,3
swe-prbench-pipecat__3598,1,5,2
swe-prbench-spyder__25481,1,2,2
swe-prbench-stylelint__8985,1,2,2
swe-prbench-vitest__9521,1,5,3
swe-prbench-zod__5578,1,2,1
swe-prbench-chia-blockchain__20321,1,3,3
swe-prbench-coreos-assembler__4386,1,1,1
swe-prbench-espnet__6352,1,7,4
swe-prbench-metaflow__2653,1,1,2
swe-prbench-pipecat__3113,1,7,7
swe-prbench-pipecat__3328,1,3,5
swe-prbench-pipecat__3428,1,2,1
swe-prbench-prowler__9606,1,2,1
swe-prbench-sktime__9042,1,4,4
swe-prbench-stylelint__8953,1,0,0
