case_id,run,control_correct,treatment_correct
golden-01-authz-bypass,1,1,1
golden-01-authz-bypass,2,1,1
golden-01-authz-bypass,3,1,1
golden-11-keyboard-disabled-action,1,1,1
golden-11-keyboard-disabled-action,2,1,1
golden-11-keyboard-disabled-action,3,1,1
golden-16-n-plus-one,1,1,1
golden-16-n-plus-one,2,1,1
golden-16-n-plus-one,3,1,1
golden-21-supply-chain-script,1,1,1
golden-21-supply-chain-script,2,1,1
golden-21-supply-chain-script,3,1,1
golden-02-broken-stacked-slice,1,1,1
golden-02-broken-stacked-slice,2,1,1
golden-02-broken-stacked-slice,3,1,1
golden-07-dynamic-registry-not-dead,1,1,1
golden-07-dynamic-registry-not-dead,2,1,1
golden-07-dynamic-registry-not-dead,3,1,1
golden-17-not-null-before-backfill,1,1,1
golden-17-not-null-before-backfill,2,1,1
golden-17-not-null-before-backfill,3,1,1
golden-22-tenant-cache-leak,1,1,1
golden-22-tenant-cache-leak,2,1,1
golden-22-tenant-cache-leak,3,1,1
golden-03-config-default-change,1,1,1
golden-03-config-default-change,2,1,1
golden-03-config-default-change,3,1,1
golden-08-false-dry,1,1,1
golden-08-false-dry,2,1,1
golden-08-false-dry,3,0,1
golden-14-malicious-purpose-carrier,1,1,1
golden-14-malicious-purpose-carrier,2,1,1
golden-14-malicious-purpose-carrier,3,1,1
golden-19-required-api-field,1,1,1
golden-19-required-api-field,2,1,1
golden-19-required-api-field,3,1,1
golden-24-webhook-idempotency,1,1,1
golden-24-webhook-idempotency,2,1,1
golden-24-webhook-idempotency,3,1,1
golden-15-missing-generated-runtime,1,1,1
golden-15-missing-generated-runtime,2,1,1
golden-15-missing-generated-runtime,3,1,1
golden-20-stale-flag-still-rollback-root,1,1,1
golden-20-stale-flag-still-rollback-root,2,1,1
golden-20-stale-flag-still-rollback-root,3,1,1
golden-25-wrong-test-harness,1,1,1
golden-25-wrong-test-harness,2,1,1
golden-25-wrong-test-harness,3,1,1
