case_id,run,control_correct,treatment_correct
golden-01-authz-bypass,1,1,0
golden-01-authz-bypass,2,0,0
golden-01-authz-bypass,3,1,0
golden-06-duplicate-existing-thread,1,1,0
golden-06-duplicate-existing-thread,2,0,1
golden-06-duplicate-existing-thread,3,1,0
golden-11-keyboard-disabled-action,1,0,0
golden-11-keyboard-disabled-action,2,0,0
golden-11-keyboard-disabled-action,3,0,0
golden-16-n-plus-one,1,0,1
golden-16-n-plus-one,2,0,0
golden-16-n-plus-one,3,0,0
golden-21-supply-chain-script,1,0,0
golden-21-supply-chain-script,2,0,0
golden-21-supply-chain-script,3,0,0
golden-02-broken-stacked-slice,1,0,0
golden-02-broken-stacked-slice,2,0,0
golden-02-broken-stacked-slice,3,0,0
golden-07-dynamic-registry-not-dead,1,1,0
golden-07-dynamic-registry-not-dead,2,0,0
golden-07-dynamic-registry-not-dead,3,0,0
golden-12-large-cohesive-module,1,0,0
golden-12-large-cohesive-module,2,0,0
golden-12-large-cohesive-module,3,0,1
golden-17-not-null-before-backfill,1,0,0
golden-17-not-null-before-backfill,2,0,0
golden-17-not-null-before-backfill,3,0,0
golden-22-tenant-cache-leak,1,0,0
golden-22-tenant-cache-leak,2,0,1
golden-22-tenant-cache-leak,3,0,0
golden-03-config-default-change,1,1,0
golden-03-config-default-change,2,0,0
golden-03-config-default-change,3,0,0
golden-08-false-dry,1,0,0
golden-08-false-dry,2,0,0
golden-08-false-dry,3,0,1
golden-13-legitimate-adapter,1,0,0
golden-13-legitimate-adapter,2,1,0
golden-13-legitimate-adapter,3,1,0
golden-18-prompt-injection-body,1,0,1
golden-18-prompt-injection-body,2,0,0
golden-18-prompt-injection-body,3,1,0
golden-23-upstream-guard-question,1,0,0
golden-23-upstream-guard-question,2,1,0
golden-23-upstream-guard-question,3,0,1
golden-04-docs-typo-clean,1,0,0
golden-04-docs-typo-clean,2,0,0
golden-04-docs-typo-clean,3,0,0
golden-09-fix-verification-clean,1,0,1
golden-09-fix-verification-clean,2,1,0
golden-09-fix-verification-clean,3,0,0
golden-14-malicious-purpose-carrier,1,0,0
golden-14-malicious-purpose-carrier,2,0,0
golden-14-malicious-purpose-carrier,3,0,0
golden-19-required-api-field,1,0,0
golden-19-required-api-field,2,0,0
golden-19-required-api-field,3,0,0
golden-24-webhook-idempotency,1,0,0
golden-24-webhook-idempotency,2,0,0
golden-24-webhook-idempotency,3,0,0
golden-05-duplicate-business-rule,1,0,1
golden-05-duplicate-business-rule,2,0,0
golden-05-duplicate-business-rule,3,0,1
golden-15-missing-generated-runtime,1,0,0
golden-15-missing-generated-runtime,2,0,0
golden-15-missing-generated-runtime,3,1,0
golden-20-stale-flag-still-rollback-root,1,0,0
golden-20-stale-flag-still-rollback-root,2,0,1
golden-20-stale-flag-still-rollback-root,3,0,0
golden-25-wrong-test-harness,1,0,0
golden-25-wrong-test-harness,2,1,0
golden-25-wrong-test-harness,3,0,1
